Year,"Rape per 100,000 population"
1965,12.8
1966,13.4
1967,14.5
1968,14
1969,15.8
1970,15.8
1971,17.5
1972,22.9
1973,26.6
1974,28.9
1975,28.1
1976,25.8
1977,29.4
1978,29.1
1979,30.6
1980,30.9
1981,31.1
1982,29.2
1983,30
1984,31.6
1985,32.1
1986,30.5
1987,31.1
1988,30.6
1989,29.2
1990,29.8
1991,28.2
1992,28.4
1993,27.5
1994,25.9
1995,23.7
1996,23
1997,22.5
1998,21.1
1999,19.6
2000,18.6
2001,18.6
2002,20.3
2003,19.6
2004,18.7
2005,18.8
2006,16.4
2007,15.2
2008,14.4
2009,13.2
2010,14.4
2011,14.1
2012,14.6
2013,17.1
2014,27.5
2015,30.7
2016,31.7
2017,31.9
2018,33.6
2019,33.8
